,phrase,label,sentiment,subjectivity,language,count,gnd,geonames,geotype,latitude,longitude,continent,country,ipcc
Messi,Messi,GPE,0.00000000,0.00000000,en,1.90000000,,12530416,L,39.82555000,9.24855000,EUROPE-AFRICA,Italy,MED
Columbus,Columbus,GPE,0.00000000,0.34210526,en,1.90000000,4085305-6,4509177,P,39.96118000,-82.99879000,NORTH-AMERICA,United States,ENA
Trikala,Trikala,GPE,-0.43859649,0.82456140,en,1.90000000,4343018-1,252664,P,39.55493000,21.76837000,EUROPE-AFRICA,Greece,MED
Menidi,Menidi,GPE,0.11654135,0.22431078,en,1.90000000,7595751-6,265488,P,38.08333000,23.73333000,EUROPE-AFRICA,Greece,MED
Texas,Texas,GPE,0.36842105,0.71052632,en,1.90000000,4059594-8,12217092,L,28.92040000,-98.57720000,CENTRAL-AMERICA,United States,NCA
the Great Plains,the Great Plains,LOC,0.59868421,0.85526316,en,1.90000000,,12212750,L,42.58598000,-100.51728000,NORTH-AMERICA,United States,CNA
Pelion,Pelion,GPE,0.00000000,0.00000000,en,1.90000000,4199000-6,2156547,P,-20.93333000,148.81667000,OCEANIA,Australia,EAU
East Coast,East Coast,LOC,0.57097289,0.70733652,en,1.90000000,,12212303,L,37.02332000,-77.36954000,NORTH-AMERICA,United States,ENA
West Java,West Java,GPE,-0.22807018,0.19736842,en,1.90000000,5060395-4,1649378,P,-6.23490000,106.98960000,ASIA,Indonesia,SEA
Paris,Paris,GPE,0.00657895,0.60526316,en,1.90000000,4044660-8,2988507,P,48.85341000,2.34880000,EUROPE,France,WCE
L.D.,L.D.,GPE,-0.23684211,0.50000000,en,1.90000000,4223034-2,2960634,P,49.48056000,6.08750000,EUROPE,Luxembourg,WCE
Olympiakos,Olympiakos,GPE,0.00000000,0.00000000,en,1.90000000,,0,,,,,,
Hungary,Hungary,GPE,0.08070175,0.36140351,en,1.90000000,4078541-5,719819,A,47.00000000,20.00000000,EUROPE,Hungary,WCE
Talaun island,Talaun island,LOC,-0.22039474,0.44736842,en,1.90000000,,0,,,,,,
Philadelphia,Philadelphia,GPE,0.04784689,0.54545455,en,1.90000000,4103331-0,4560349,P,39.95238000,-75.16362000,NORTH-AMERICA,United States,ENA
Keratsini,Keratsini,GPE,-0.77777778,0.74074074,en,1.80000000,,260204,P,37.96250000,23.61972000,EUROPE-AFRICA,Greece,MED
Kifissos,Kifissos,GPE,-0.46296296,0.75925926,en,1.80000000,,259822,H,38.41817000,23.25460000,EUROPE-AFRICA,Greece,MED
Monemvasia municipality,Monemvasia municipality,GPE,-0.39351852,0.42438272,en,1.80000000,,0,,,,,,
Attica - Rains,Attica - Rains,GPE,-0.11111111,0.64814815,en,1.80000000,,0,,,,,,
Canada,Canada,GPE,0.00000000,0.00000000,en,1.80000000,4029456-0,6251999,A,60.10867000,-113.64258000,NORTH-AMERICA,Canada,NWN
Voula - Roads,Voula - Roads,LOC,-0.35416667,0.45833333,en,1.80000000,,0,,,,,,
Spata - Fears,Spata - Fears,GPE,-0.77777778,0.74074074,en,1.80000000,,0,,,,,,
Qatar,Qatar,GPE,0.55555556,0.55555556,en,1.80000000,4029924-7,289688,A,25.50000000,51.25000000,ASIA,Qatar,ARP
the Ionian Islands,the Ionian Islands,GPE,-0.33228114,0.42248878,en,1.80000000,,10112063,S,39.78942000,19.72041000,EUROPE-AFRICA,Greece,MED
Spata,Spata,GPE,-0.58333333,0.57407407,en,1.80000000,10366054-9,253376,P,37.96163000,23.91514000,EUROPE-AFRICA,Greece,MED
Western Australia,Western Australia,LOC,0.08333333,0.25000000,en,1.80000000,4232458-0,2063523,P,-31.95224000,115.86140000,OCEANIA,Australia,SAU
Yilan,Yilan,GPE,0.25490196,0.43137255,en,1.70000000,4407796-8,1674199,P,24.75700000,121.75300000,ASIA,Taiwan,EAS
Capri,Capri,GPE,0.05882353,0.23529412,en,1.70000000,4009452-2,3180630,P,40.55073000,14.24263000,EUROPE-AFRICA,Italy,MED
Milan,Milan,GPE,-0.05882353,0.05882353,en,1.70000000,4037100-1,3173435,P,45.46427000,9.18951000,EUROPE,Italy,WCE
Senegal,Senegal,GPE,0.00000000,0.00000000,en,1.70000000,4054529-5,2245662,A,14.50000000,-14.25000000,AFRICA,Senegal,WAF
Argolida,Argolida,GPE,-0.41176471,0.39215686,en,1.70000000,,264673,A,37.66667000,22.83333000,EUROPE-AFRICA,Greece,MED
Omodos,Omodos,GPE,0.00000000,0.00000000,en,1.70000000,4341114-9,10347021,A,34.85260000,32.80678000,EUROPE-AFRICA,Cyprus,MED
Kabul,Kabul,GPE,0.22549020,0.46078431,en,1.70000000,4029127-3,1138958,P,34.52813000,69.17233000,ASIA,Afghanistan,WCA
Ioannito,Ioannito,GPE,0.00000000,0.44117647,en,1.70000000,,0,,,,,,
Andritsaina,Andritsaina,GPE,-0.65441176,0.69852941,en,1.70000000,1163407615,265048,P,37.48387000,21.90563000,EUROPE-AFRICA,Greece,MED
Mesara,Mesara,GPE,-0.48529412,0.61274510,en,1.70000000,4313272-8,257153,H,35.04421000,24.67928000,EUROPE-AFRICA,Greece,MED
Krystallopigi,Krystallopigi,GPE,0.00000000,0.00000000,en,1.70000000,,258769,P,39.49306000,20.46272000,EUROPE-AFRICA,Greece,MED
Sofia,Sofia,GPE,-0.23529412,0.35294118,en,1.70000000,4077502-1,727011,P,42.69751000,23.32415000,EUROPE-AFRICA,Bulgaria,MED
Mexico City,Mexico City,GPE,0.27450980,0.98039216,en,1.70000000,4039060-3,3530597,P,19.42847000,-99.12766000,CENTRAL-AMERICA,Mexico,NCA
Southern Peloponnese,Southern Peloponnese,LOC,-0.20588235,0.26960784,en,1.70000000,,255620,L,37.50000000,22.33333000,EUROPE-AFRICA,Greece,MED
Tajikistan,Tajikistan,GPE,-0.05882353,0.05882353,en,1.70000000,1016800-X,1220409,A,39.00000000,71.00000000,ASIA,Tajikistan,WCA
Oahu,Oahu,GPE,0.10457516,0.20915033,en,1.70000000,4434640-2,4034107,T,-17.73333000,-149.53333000,PACIFIC,French Polynesia,SPO
Eastern Attica,Eastern Attica,LOC,-0.52941176,0.62745098,en,1.70000000,,8552039,R,14.61249000,121.11293000,ASIA,Philippines,SEA
Newcastle - Sunderland,Newcastle - Sunderland,GPE,0.00000000,0.00000000,en,1.70000000,,10174789,S,54.92282000,-1.53392000,EUROPE,United Kingdom,NEU
Areopagus,Areopagus,GPE,0.00000000,0.00000000,en,1.70000000,,8354439,T,37.97238000,23.72337000,EUROPE-AFRICA,Greece,MED
Victoria,Victoria,GPE,0.14705882,0.14705882,en,1.70000000,,241131,P,-4.62001000,55.45501000,INDIAN,Seychelles,EIO
Taipei,Taipei,GPE,0.00000000,0.00000000,en,1.70000000,4078134-3,1668341,P,25.05306000,121.52639000,ASIA,Taiwan,EAS
Taygetos,Taygetos,GPE,-0.04071970,0.81912879,en,1.60000000,4302536-5,253062,T,37.01228000,22.33097000,EUROPE-AFRICA,Greece,MED
Parnassos,Parnassos,GPE,0.00000000,0.02564103,en,1.30000000,4044717-0,255729,P,37.63774000,21.90627000,EUROPE-AFRICA,Greece,MED
Lemnos,Lemnos,GPE,-0.53846154,0.51282051,en,1.30000000,4099662-1,258293,T,39.94235000,25.24330000,EUROPE-AFRICA,Greece,MED
Megalochori,Megalochori,GPE,0.00000000,0.19230769,en,1.30000000,,257406,P,39.55982000,21.84195000,EUROPE-AFRICA,Greece,MED
Messinia,Messinia,GPE,-0.23717949,0.65170940,en,1.30000000,16080256-8,257149,A,37.25000000,21.83333000,EUROPE-AFRICA,Greece,MED
Selianitika,Selianitika,GPE,0.10000000,0.40000000,en,1.00000000,,254032,P,38.28216000,22.02827000,EUROPE-AFRICA,Greece,MED
Aktaeo,Aktaeo,GPE,-0.03333333,0.36666667,en,1.00000000,,0,,,,,,
Hormuz - Damage,Hormuz - Damage,GPE,0.00000000,0.00000000,en,1.00000000,,0,,,,,,
Connecticut,Connecticut,GPE,0.11818182,0.42727273,en,1.00000000,4010487-4,4831725,A,41.66704000,-72.66648000,NORTH-AMERICA,United States,ENA
Guangdong,Guangdong,GPE,0.15714286,0.36428571,en,1.00000000,4249642-1,1812545,P,23.01797000,113.74866000,ASIA,China,EAS
Shenzhen,Shenzhen,GPE,0.15714286,0.36428571,en,1.00000000,4107686-2,1795565,P,22.54554000,114.06830000,ASIA,China,EAS
Ano Porovitsa,Ano Porovitsa,LOC,0.15000000,0.33333333,en,1.00000000,,0,,,,,,
Lima,Lima,GPE,-0.15000000,0.23333333,en,1.00000000,4035742-9,3936456,P,-12.04318000,-77.02824000,SOUTH-AMERICA,Peru,NWS
Platana,Platana,GPE,-0.05000000,0.00000000,en,1.00000000,4844322-0,255089,P,37.44143000,22.61254000,EUROPE-AFRICA,Greece,MED
Aragon,Aragon,GPE,0.50000000,0.50000000,en,1.00000000,4068794-6,3336899,A,41.50000000,-0.66667000,EUROPE-AFRICA,Spain,MED
Suez,Suez,LOC,0.75000000,0.95000000,en,1.00000000,4747363-0,359796,P,29.97371000,32.52627000,AFRICA,Egypt,SAH
​​the Municipality of Kymi - Aliveri,​​the Municipality of Kymi - Aliveri,GPE,-0.05000000,0.00000000,en,1.00000000,,0,,,,,,
Northeast US,Northeast US,LOC,0.38989899,0.69595960,en,1.00000000,,11887749,L,42.80019000,-74.11805000,NORTH-AMERICA,United States,ENA
the Vardousia mountains,the Vardousia mountains,LOC,-0.33333333,0.46666667,en,1.00000000,,0,,,,,,
Ampelo,Ampelo,GPE,0.10000000,1.00000000,en,1.00000000,,0,,,,,,
Iwate Prefecture,Iwate Prefecture,LOC,-0.10000000,0.40000000,en,1.00000000,4323908-0,2111834,P,39.70000000,141.15000000,ASIA,Japan,EAS
Aigio,Aigio,GPE,0.21428571,0.42857143,en,1.00000000,,265500,P,38.24861000,22.08194000,EUROPE-AFRICA,Greece,MED
Honshu Island's,Honshu Island's,LOC,-0.10000000,0.40000000,en,1.00000000,,0,,,,,,
Ancas province,Ancas province,GPE,-0.15000000,0.23333333,en,1.00000000,,3947850,P,-13.87618000,-74.89241000,SOUTH-AMERICA,Peru,NWS
St. Petersburg,St. Petersburg,GPE,0.00000000,0.00000000,en,1.00000000,2034200-7,498817,P,59.93863000,30.31413000,EUROPE,Russia,NEU
Volga River,Volga River,LOC,0.00000000,0.00000000,en,1.00000000,,4880337,L,42.86526000,-91.77183000,NORTH-AMERICA,United States,CNA
Colonos,Colonos,GPE,-0.32500000,0.52500000,en,1.00000000,,3549321,L,21.90767000,-82.82840000,CENTRAL-AMERICA,Cuba,CAR
Tohoku,Tohoku,GPE,0.00000000,0.00000000,en,1.00000000,4552767-2,2110769,L,39.00000000,141.00000000,ASIA,Japan,EAS
Interfax,Interfax,LOC,0.00000000,0.00000000,en,1.00000000,,0,,,,,,
Lefkada,Lefkada,GPE,-0.05000000,0.50000000,en,1.00000000,4111277-5,258438,P,38.83036000,20.70442000,EUROPE-AFRICA,Greece,MED
​​the island,​​the island,LOC,-0.30000000,0.60000000,en,1.00000000,,0,,,,,,
Geelong,Geelong,GPE,0.25000000,0.95000000,en,1.00000000,4363599-4,2165798,P,-38.14711000,144.36069000,OCEANIA,Australia,SAU
Skiathos - NAUTHEBOR,Skiathos - NAUTHEBOR,GPE,0.00000000,0.00000000,en,1.00000000,,0,,,,,,
Black Sea,Black Sea,LOC,-0.08333333,0.21666667,en,1.00000000,,10922499,L,41.25206000,36.96073000,EUROPE-AFRICA,Turkey,MED
Porovitsa,Porovitsa,GPE,0.10000000,1.00000000,en,1.00000000,,254856,P,38.13428000,22.30964000,EUROPE-AFRICA,Greece,MED
the Amur River,the Amur River,LOC,0.00000000,0.00000000,en,1.00000000,,0,,,,,,
Livadia,Livadia,GPE,-0.00833333,0.33611111,en,1.00000000,4408701-9,10201597,A,35.39741000,34.03460000,EUROPE-AFRICA,Cyprus,MED
Beirut,Beirut,GPE,0.00000000,0.00000000,en,1.00000000,4005348-9,276781,P,33.89332000,35.50157000,EUROPE-AFRICA,Lebanon,MED
Netherlands,Netherlands,GPE,-0.30277778,0.63888889,en,1.00000000,4042203-3,2750405,A,52.25000000,5.75000000,EUROPE,The Netherlands,NEU
Apulia,Apulia,GPE,-0.15000000,0.78333333,en,1.00000000,4086384-0,3182351,P,41.12066000,16.86982000,EUROPE-AFRICA,Italy,MED
Molise,Molise,LOC,0.00000000,0.12500000,en,1.00000000,4101127-2,3173222,A,41.66667000,14.50000000,EUROPE-AFRICA,Italy,MED
Balkans,Balkans,LOC,-0.30277778,0.63888889,en,1.00000000,,0,,,,,,
Villerban,Villerban,GPE,0.00000000,0.00000000,en,1.00000000,,0,,,,,,
A.T.,A.T.,GPE,-0.27000000,0.43000000,en,1.00000000,4198006-2,1792947,P,39.14222000,117.17667000,ASIA,China,EAS
North Kelevi,North Kelevi,GPE,0.00000000,0.00000000,en,1.00000000,,0,,,,,,
Manado,Manado,GPE,0.00000000,0.00000000,en,1.00000000,4524711-0,1636544,P,1.48218000,124.84892000,ASIA,Indonesia,SEA
the Moluccas Sea,the Moluccas Sea,LOC,0.00000000,0.00000000,en,1.00000000,,0,,,,,,
North Maluku,North Maluku,GPE,0.00000000,0.00000000,en,1.00000000,,1958070,A,0.62621000,127.84241000,ASIA,Indonesia,SEA
Kalpaki,Kalpaki,GPE,0.00000000,0.62500000,en,1.00000000,,261298,P,39.88778000,20.62389000,EUROPE-AFRICA,Greece,MED
Mars,Mars,LOC,0.22500000,0.60000000,en,1.00000000,,6621751,T,-76.66667000,161.95000000,POLAR,Antarctica,EAN
the sea area,the sea area,LOC,0.00000000,0.00000000,en,1.00000000,4433188-5,5334320,P,36.55524000,-121.92329000,NORTH-AMERICA,United States,WNA
Pezeskian,Pezeskian,GPE,0.43333333,0.55555556,en,1.00000000,,0,,,,,,
Andravida Ilia,Andravida Ilia,GPE,0.00000000,0.00000000,en,1.00000000,,6299482,S,37.92071000,21.29258000,EUROPE-AFRICA,Greece,MED
Panathinaikos - Olympiacos,Panathinaikos - Olympiacos,GPE,0.00000000,0.00000000,en,1.00000000,,0,,,,,,
South Lebanon,South Lebanon,GPE,0.00000000,0.00000000,en,1.00000000,,268064,P,33.55751000,35.37148000,EUROPE-AFRICA,Lebanon,MED
Malevizi Municipality,Malevizi Municipality,GPE,0.21428571,0.42857143,en,1.00000000,,0,,,,,,
Limnos,Limnos,GPE,0.00000000,0.00000000,en,1.00000000,4099662-1,258293,T,39.94235000,25.24330000,EUROPE-AFRICA,Greece,MED
​​Ilia,​​Ilia,GPE,-0.50000000,0.75000000,en,1.00000000,,0,,,,,,
the Occupied Territories:,the Occupied Territories:,LOC,0.00000000,0.05000000,en,1.00000000,,4043397,S,13.26594000,144.66838000,PACIFIC,Guam,NPO
Ba,Ba,GPE,0.00000000,0.00000000,en,1.00000000,4342203-2,6559371,X,29.48248900,92.93368900,ASIA,China,TIB
Shark Bay,Shark Bay,LOC,0.00000000,0.00000000,en,1.00000000,4639597-0,12097302,L,-24.86639000,112.78010000,OCEANIA,Australia,CAU
Shimane,Shimane,GPE,0.00000000,0.00000000,en,1.00000000,4389008-8,1857550,P,35.48333000,133.05000000,ASIA,Japan,EAS
the Municipality of Polygyros,the Municipality of Polygyros,GPE,0.00000000,0.00000000,en,1.00000000,,0,,,,,,
Rhode Island,Rhode Island,GPE,-0.05000000,0.36666667,en,1.00000000,4049848-7,5224323,A,41.75038000,-71.49978000,NORTH-AMERICA,United States,ENA
Habshan,Habshan,GPE,0.10000000,0.40000000,en,1.00000000,,12138190,P,13.81360000,44.04880000,ASIA,Yemen,ARP
Nea,Nea,GPE,0.00000000,0.00000000,en,1.00000000,,6299485,S,39.21962000,22.79434000,EUROPE-AFRICA,Greece,MED
The Municipality of Chania,The Municipality of Chania,GPE,0.36666667,0.70000000,en,1.00000000,,0,,,,,,
Judah,Judah,GPE,0.48000000,0.64500000,en,1.00000000,4091273-5,105343,P,21.49012000,39.18624000,ASIA,Saudi Arabia,ARP
Nafpaktos - Felt,Nafpaktos - Felt,GPE,0.00000000,0.00000000,en,1.00000000,,0,,,,,,
M. Thursday,M. Thursday,GPE,-0.05000000,0.20000000,en,1.00000000,,0,,,,,,
Fiji,Fiji,GPE,0.18750000,0.28333333,en,1.00000000,4017063-9,2205218,A,-18.00000000,178.00000000,PACIFIC,Fiji,SPO
Iwate,Iwate,LOC,-0.10000000,0.40000000,en,1.00000000,4323908-0,2111834,P,39.70000000,141.15000000,ASIA,Japan,EAS
Paralimni,Paralimni,GPE,0.00000000,0.00000000,en,1.00000000,4392439-6,255765,H,38.46078000,23.35264000,EUROPE-AFRICA,Greece,MED
Honshu,Honshu,GPE,0.00000000,0.00000000,en,1.00000000,,1862185,T,36.00000000,138.00000000,ASIA,Japan,EAS
Amb,Amb,GPE,0.10000000,0.40000000,en,1.00000000,,11319234,L,40.86951000,44.08893000,ASIA,Armenia,WCA
Aetoloakarnania,Aetoloakarnania,GPE,-0.30000000,0.53333333,en,1.00000000,,0,,,,,,
greece,greece,GPE,0.00000000,0.00000000,en,1.00000000,4022047-3,390903,A,39.00000000,22.00000000,EUROPE-AFRICA,Greece,MED
Tokyo,Tokyo,GPE,0.00000000,0.00000000,en,1.00000000,4078337-6,1850147,P,35.68950000,139.69171000,ASIA,Japan,EAS
Jubail,Jubail,GPE,0.00000000,0.00000000,en,1.00000000,7754212-5,109435,P,27.01740000,49.62251000,ASIA,Saudi Arabia,ARP
Hemsedal,Hemsedal,GPE,0.10000000,0.40000000,en,1.00000000,7575866-0,3152987,A,60.86114000,8.56537000,EUROPE,Norway,NEU
Selly,Selly,GPE,0.28878788,0.58040404,en,1.00000000,,2638221,P,52.43928000,-1.94025000,EUROPE,United Kingdom,NEU
Hemsendal,Hemsendal,LOC,-0.05000000,0.40000000,en,1.00000000,,0,,,,,,
UK,UK,GPE,0.00000000,0.00000000,en,1.00000000,4022153-2,2635167,A,54.75844000,-2.69531000,EUROPE,United Kingdom,NEU
Asprangeli,Asprangeli,GPE,0.00000000,0.00000000,en,1.00000000,,264472,P,39.82328000,20.72862000,EUROPE-AFRICA,Greece,MED
Newport,Newport,GPE,-0.05000000,0.36666667,en,1.00000000,4243472-5,5223593,P,41.49010000,-71.31283000,NORTH-AMERICA,United States,ENA
NORSI,NORSI,GPE,0.13636364,0.45454545,en,1.00000000,,0,,,,,,
Monte Carlo,Monte Carlo,GPE,0.27857143,0.73571429,en,1.00000000,7600215-9,2992741,P,43.73976000,7.42732000,EUROPE-AFRICA,Monaco,MED
Honshu island's,Honshu island's,LOC,-0.10000000,0.40000000,en,1.00000000,,0,,,,,,
Sarapio,Sarapio,LOC,0.00000000,0.00000000,en,1.00000000,,5490441,H,35.47491000,-105.81562000,NORTH-AMERICA,United States,WNA
Epanomi beach,Epanomi beach,GPE,0.00000000,0.00000000,en,1.00000000,,0,,,,,,
Aitoloakarnania - Roads,Aitoloakarnania - Roads,LOC,-0.35000000,0.33333333,en,1.00000000,,0,,,,,,
Domokos,Domokos,GPE,-0.70000000,0.66666667,en,1.00000000,1110799128,263000,P,39.12722000,22.30028000,EUROPE-AFRICA,Greece,MED
Dhabi,Dhabi,GPE,0.00000000,0.00000000,en,1.00000000,4000287-1,292968,P,24.45118000,54.39696000,ASIA,United Arab Emirates,ARP
Al Dhafra,Al Dhafra,GPE,0.00000000,0.00000000,en,1.00000000,,12047241,A,23.65745000,53.72225000,ASIA,United Arab Emirates,ARP
Barakah,Barakah,LOC,0.00000000,0.00000000,en,1.00000000,,11898009,L,14.39412000,44.03896000,ASIA,Yemen,ARP
Bangkok,Bangkok,GPE,-0.41666667,0.51666667,en,1.00000000,4004432-4,1609350,P,13.75398000,100.50144000,ASIA,Thailand,SEA
Lake Maracaibo,Lake Maracaibo,LOC,0.10000000,0.40000000,en,1.00000000,4037437-3,3633005,H,9.79570000,-71.55654000,SOUTH-AMERICA,Venezuela,NSA
Central,Central,LOC,-0.17500000,0.22916667,en,1.00000000,,0,,,,,,
Ilioupoli,Ilioupoli,GPE,0.00000000,0.00000000,en,1.00000000,7618149-2,8310138,P,37.93149000,23.76779000,EUROPE-AFRICA,Greece,MED
Kizirlmak,Kizirlmak,GPE,0.00000000,0.00000000,en,1.00000000,,0,,,,,,
Patisia,Patisia,GPE,-0.05000000,0.00000000,en,1.00000000,,255691,P,38.01811000,23.73951000,EUROPE-AFRICA,Greece,MED
Argolis,Argolis,GPE,-0.70000000,0.66666667,en,1.00000000,4002893-8,264673,A,37.66667000,22.83333000,EUROPE-AFRICA,Greece,MED
San Antonio,San Antonio,GPE,0.00000000,0.00000000,en,1.00000000,4124107-1,4726206,P,29.42412000,-98.49363000,CENTRAL-AMERICA,United States,NCA
the Persian Gulf,the Persian Gulf,LOC,0.45000000,0.65000000,en,1.00000000,,0,,,,,,
Amaliada,Amaliada,GPE,0.00000000,0.00000000,en,1.00000000,4338749-4,265252,P,37.79842000,21.35068000,EUROPE-AFRICA,Greece,MED
Kyllini,Kyllini,GPE,0.00000000,0.00000000,en,1.00000000,,259813,P,37.93542000,21.14503000,EUROPE-AFRICA,Greece,MED
Kathmandu,Kathmandu,GPE,0.39285714,0.51785714,en,1.00000000,4030036-5,1283240,P,27.70169000,85.32060000,ASIA,Nepal,TIB
Kefalos Kos,Kefalos Kos,GPE,0.00000000,0.00000000,en,1.00000000,,260308,P,36.74507000,26.95961000,EUROPE-AFRICA,Greece,MED
Kos,Kos,GPE,0.00000000,0.00000000,en,1.00000000,4829027-0,259244,T,36.84452000,27.14665000,EUROPE-AFRICA,Greece,MED
Antarctica,Antarctica,LOC,0.00000000,0.00000000,en,1.00000000,,0,,,,,,
Tsoameni,Tsoameni,GPE,0.05277778,0.37777778,en,1.00000000,,0,,,,,,
the Chernobyl Exclusion Zone,the Chernobyl Exclusion Zone,GPE,-0.09285714,0.41428571,en,1.00000000,,0,,,,,,
Indi,Indi,GPE,0.00000000,0.00000000,en,1.00000000,4026722-2,1269750,A,22.00000000,79.00000000,ASIA,India,SAS
Halmahera island,Halmahera island,LOC,-0.20000000,0.05000000,en,1.00000000,,1643476,T,0.60000000,127.85000000,ASIA,Indonesia,SEA
East Aceh,East Aceh,GPE,0.00000000,0.00000000,en,1.00000000,,1215631,A,4.61667000,97.71667000,ASIA,Indonesia,SEA
Colombia,Colombia,GPE,0.00000000,0.00000000,en,1.00000000,4031812-6,3686110,A,4.00000000,-73.25000000,SOUTH-AMERICA,Colombia,NWS
Berlin,Berlin,GPE,0.04285714,0.28571429,en,1.00000000,4005728-8,2950159,P,52.52437000,13.41053000,EUROPE,Germany,WCE
Neochorio Karditsa Earthquake,Neochorio Karditsa Earthquake,LOC,0.00000000,0.00000000,en,1.00000000,,0,,,,,,
the Municipality of Agios Dimitrios,the Municipality of Agios Dimitrios,GPE,-0.02500000,0.44166667,en,1.00000000,,0,,,,,,
Vonica,Vonica,GPE,-0.41250000,0.52083333,en,1.00000000,,0,,,,,,
Southeast Asia,Southeast Asia,LOC,1.00000000,1.00000000,en,1.00000000,,11497301,L,10.75053000,106.75050000,ASIA,Vietnam,SEA
Typhoon Jangmi,Typhoon Jangmi,GPE,1.00000000,1.00000000,en,1.00000000,,0,,,,,,
Igoumenitsa,Igoumenitsa,LOC,-0.28125000,0.41041667,en,1.00000000,,261807,P,39.50342000,20.26728000,EUROPE-AFRICA,Greece,MED
Plataria,Plataria,GPE,-0.28125000,0.41041667,en,1.00000000,,255013,P,39.45044000,20.27781000,EUROPE-AFRICA,Greece,MED
Western Continent - A,Western Continent - A,LOC,-0.08333333,0.08333333,en,1.00000000,,0,,,,,,
Western Continent - Slight,Western Continent - Slight,LOC,-0.08333333,0.08333333,en,1.00000000,,0,,,,,,
Bakela,Bakela,GPE,0.13636364,0.45454545,en,1.00000000,,2390240,P,6.98918000,16.81878000,AFRICA,Central African Republic,CAF
Bakelas,Bakelas,GPE,0.25000000,0.33333333,en,1.00000000,,0,,,,,,
Lombardy,Lombardy,GPE,-0.45000000,0.58333333,en,1.00000000,4037100-1,3173435,P,45.46427000,9.18951000,EUROPE,Italy,WCE
Piedmont,Piedmont,GPE,-0.45000000,0.58333333,en,1.00000000,,5382514,P,37.82437000,-122.23163000,NORTH-AMERICA,United States,WNA
Korydallos,Korydallos,GPE,0.00000000,0.00000000,en,1.00000000,,8310183,P,37.98468000,23.64711000,EUROPE-AFRICA,Greece,MED
Churu,Churu,GPE,0.21666667,0.61666667,en,1.00000000,1116369575,1273892,P,28.30415000,74.96718000,ASIA,India,SAS
Lakkoma,Lakkoma,GPE,0.00000000,0.00000000,en,1.00000000,,735490,P,40.39139000,23.05578000,EUROPE-AFRICA,Greece,MED
the Pinios river,the Pinios river,LOC,0.00000000,0.50000000,en,1.00000000,,0,,,,,,
Saisobun,Saisobun,GPE,0.00000000,0.06666667,en,1.00000000,,0,,,,,,
Coahuila,Coahuila,GPE,0.09166667,0.85833333,en,1.00000000,4229880-5,4013674,A,27.33333000,-102.00000000,CENTRAL-AMERICA,Mexico,NCA
Gilgil,Gilgil,GPE,0.00000000,0.00000000,en,1.00000000,4086722-5,197335,P,-0.21209000,36.27248000,AFRICA,Kenya,SEAF
Tropaia Arcadia,Tropaia Arcadia,GPE,-0.20000000,0.50000000,en,1.00000000,,252569,P,37.73235000,21.95895000,EUROPE-AFRICA,Greece,MED
Asprochoma,Asprochoma,GPE,0.00000000,0.10000000,en,1.00000000,,736707,P,40.01700000,22.19947000,EUROPE-AFRICA,Greece,MED
Northwest Europe,Northwest Europe,LOC,-0.01458333,0.35555556,en,1.00000000,,11961321,L,59.89723000,30.32512000,EUROPE,Russia,NEU
Koumoundourou,Koumoundourou,GPE,0.39242424,0.54696970,en,1.00000000,,259065,H,38.02369000,23.60082000,EUROPE-AFRICA,Greece,MED
Grammos,Grammos,GPE,-0.12500000,0.37500000,en,1.00000000,4355151-8,783061,T,40.34798000,20.77944000,EUROPE-AFRICA,Greece,MED
Kalyvia,Kalyvia,GPE,0.21428571,0.42857143,en,1.00000000,4264585-2,261445,P,37.83894000,23.92505000,EUROPE-AFRICA,Greece,MED
Kyiv,Kyiv,GPE,-0.10000000,0.20000000,en,1.00000000,4030522-3,703448,P,50.45466000,30.52380000,EUROPE,Ukraine,WCE
the Pediaos River,the Pediaos River,LOC,-0.08000000,0.69333333,en,1.00000000,,0,,,,,,
Southeast Alaska,Southeast Alaska,LOC,0.00000000,0.00000000,en,1.00000000,,0,,,,,,
El Niño,El Niño,GPE,0.50000000,0.15000000,en,1.00000000,,12513655,L,-0.90231000,-89.52853000,PACIFIC,Ecuador,EPO
Goudouras,Goudouras,GPE,0.00000000,0.00000000,en,1.00000000,,261968,P,35.01116000,26.09871000,EUROPE-AFRICA,Greece,MED
Emirate,Emirate,GPE,0.00000000,0.10000000,en,1.00000000,,292933,A,25.38417000,55.51848000,ASIA,United Arab Emirates,ARP
Panthessalikos,Panthessalikos,GPE,0.00000000,1.00000000,en,1.00000000,,0,,,,,,
Manchester,Manchester,GPE,0.20000000,0.40000000,en,1.00000000,4114959-2,5089178,P,42.99564000,-71.45479000,NORTH-AMERICA,United States,ENA
Goa,Goa,GPE,-0.06500000,0.21500000,en,1.00000000,4021394-8,1271157,A,15.33333000,74.08333000,ASIA,India,SAS
Gibraltar,Gibraltar,GPE,0.00000000,0.00000000,en,1.00000000,4020965-9,2411585,P,36.14474000,-5.35257000,EUROPE-AFRICA,Gibraltar,MED
the United States of America,the United States of America,GPE,0.00000000,0.00000000,en,1.00000000,,11887752,L,33.45876000,-90.15081000,NORTH-AMERICA,United States,CNA
the Sichuan Basin,the Sichuan Basin,LOC,0.10888889,0.39111111,en,1.00000000,,0,,,,,,
Mongolia,Mongolia,GPE,0.00000000,0.00000000,en,1.00000000,4040056-6,2029969,A,46.00000000,105.00000000,ASIA,Mongolia,ESB
